Designator,Mid X,Mid Y,Rotation,Layer
D_A1,65.48443,-57.150048,270.0,bottom
D_A2,86.915698,-57.150048,270.0,bottom
D_A3,122.634478,-57.150048,270.0,bottom
D_A4,125.01573,-57.150048,270.0,bottom
D_A5,141.684494,-57.15,270.0,bottom
D_A6,144.065746,-57.150048,270.0,bottom
D_A7,179.784526,-57.15,270.0,bottom
D_A8,198.834542,-57.150048,270.0,bottom
D_A9,217.884558,-57.150048,270.0,bottom
D_B1,65.48443,-76.200064,270.0,bottom
D_B2,86.915698,-76.2,270.0,bottom
D_B3,103.584462,-76.2,270.0,bottom
D_B4,105.965714,-76.2,270.0,bottom
D_B5,141.684494,-76.200064,270.0,bottom
D_B6,144.065746,-76.200064,270.0,bottom
D_B7,179.784526,-76.2,270.0,bottom
D_B8,198.834542,-76.200064,270.0,bottom
D_B9,217.884558,-76.200064,270.0,bottom
D_C1,65.48443,-95.25,270.0,bottom
D_C2,67.865682,-95.25,270.0,bottom
D_C3,103.584462,-95.25,270.0,bottom
D_C4,105.965714,-95.25008,270.0,bottom
D_C5,141.684494,-95.25008,270.0,bottom
D_C6,144.065746,-95.25008,270.0,bottom
D_C7,179.784526,-95.25,270.0,bottom
D_C8,198.834542,-95.25008,270.0,bottom
D_C9,217.884558,-95.25,270.0,bottom
D_D1,65.48443,-114.300096,270.0,bottom
D_D2,67.865682,-114.3,270.0,bottom
D_D3,103.584462,-114.3,270.0,bottom
D_D4,105.965714,-114.3,270.0,bottom
D_D5,141.684494,-114.300096,270.0,bottom
D_D6,144.065746,-114.300096,270.0,bottom
D_D7,179.784526,-114.3,270.0,bottom
D_D8,198.834542,-114.3,270.0,bottom
D_D9,217.884558,-114.300096,270.0,bottom
D_E1,65.48443,-133.35,270.0,bottom
D_E2,67.865682,-133.35,270.0,bottom
D_E3,103.584462,-133.35,270.0,bottom
D_E4,105.965714,-133.350112,270.0,bottom
D_E5,141.684494,-133.350112,270.0,bottom
D_E6,144.065746,-133.35,270.0,bottom
D_E7,179.784526,-133.350112,270.0,bottom
D_E8,198.834542,-133.350112,270.0,bottom
D_E9,217.884558,-133.35,270.0,bottom
D_F1,65.48443,-152.400128,270.0,bottom
D_F2,67.865682,-152.4,270.0,bottom
D_F3,103.584462,-152.4,270.0,bottom
D_F4,105.965714,-152.4,270.0,bottom
D_F5,141.684494,-152.4,270.0,bottom
D_F6,144.065746,-152.400128,270.0,bottom
D_F7,179.784526,-152.400128,270.0,bottom
D_F8,198.834542,-152.400128,270.0,bottom
D_F9,217.884558,-152.400128,270.0,bottom
R1,141.981912,-67.865682,180.0,bottom
R2,141.981912,-65.48443,180.0,bottom
SW_RESET1,89.892112,-45.858475,0.0,bottom
USB1,103.881944,-41.081212,180.0,bottom
USB2,161.924864,-41.081212,180.0,bottom
